Title,Price_pesos,Barangay,Municipality,Seller,Number_Bedrooms,Floor_sqm,Land_sqm,Latitude,Longitude
For Sale: Mondia Nuvali Brand New House & Lot,"44,000,000",Hornalan,Calamba,Angela Gundelina Tan,4,390,303,121.0822104,14.1753161
"Single Attached House and Lot Unit for Sale at Kasa Joya 2 in Balibago, Laguna","4,320,000",Balibago,Santa Rosa,Property Pro Philippines,2,60,60,121.10166,14.294425
"Modern House and Lot For Sale in Stonecrest Subdivision, San Pedro City, Laguna","45,000,000",Estrella,San Pedro,Jun Cereno,5,305,816,121.0434637,14.3368386
"House and Lot For Sale in Stonecrest Subdivision, San Pedro City, Laguna","32,500,000",Estrella,San Pedro,Jun Cereno,5,400,505,121.0434637,14.3368386
"Brand New House and Lot for Sale in South Forbes Villas, Santa Rosa, Laguna","20,000,000",Don Jose,Santa Rosa,Randy Pentecostes,5,154,250,121.0735873,14.2615584
Ayala Greenfield Estates Brand New House and Lot For Sale,"45,000,000",Maunong,Calamba,Ralph Granda,3,500,504,121.159234,14.17197
RFO House and Lot in Raiya SOLEN GREENFIELD - EGR,"24,000,000",Don Jose,Santa Rosa,Ms. Emma,4,164,264,121.0735873,14.2615584
2BR House and Lot in Phirst Sight Bay Laguna,"2,032,280",Puypuy,Bay,Angela Enriquez,2,36,73,121.282239,14.166966
5M Townhouse For Sale Walking Distance Marcos Highway Antipolo,"5,000,000",Antipolo,Rizal,Layca Brazil,3,85,51,121.380557,14.114565
Ready To Move In House For Sale 7mins Away To LRT Antipolo,"9,600,000",Antipolo,Rizal,Layca Brazil,3,120,75,121.380557,14.114565
Assume Balance House For Sale In Crestview Homes Subd. Antipolo,"8,800,000",Antipolo,Rizal,Layca Brazil,4,123,144,121.380557,14.114565
"3-bedroom House for sale in San Lorenzo, Sta. Rosa, Laguna","6,000,000",Balibago,Santa Rosa,"PhilRealty Global Marketing, Inc",3,100,112,121.10166,14.294425
2 Bedroom Townhouse Unit for Sale at Bria Homes Executive Calamba (Thalia),"2,639,000",Majada Labas,Calamba,Property Pro Philippines,3,45,98,121.104962,14.196755
2 Bedroom Townhouse Unit for Sale at Bria Homes Executive Calamba (Bettina),"1,836,000",Majada Labas,Calamba,Property Pro Philippines,2,44,36,121.104962,14.196755
2 Bedroom Townhouse Unit for Sale at Bria Homes Executive Calamba (Alecza),"2,266,000",Majada Labas,Calamba,Property Pro Philippines,2,36,81,121.104962,14.196755
Preselling House and Lot in Avida Settings in Nuvali -EGR,"11,800,000",Canlubang,Calamba,Ms. Emma,4,197,135,121.0533622,14.1857173
RFO House and Lot in Raiya SOLEN GREENFIELD - EGR,"24,000,000",Don Jose,Santa Rosa,Ms. Emma,4,164,264,121.0735873,14.2615584
"House and Lot for Sale in Valenza Crown Asia, Sta. Rosa, Laguna!","12,500,000",Santo Domingo,Santa Rosa,Joie Pangilinan,3,132,,121.0661417,14.2444071
RFO House and Lot in Liane SOLEN GREENFIELD - EGR,"26,000,000",Don Jose,Santa Rosa,Ms. Emma,4,194,298,121.0735873,14.2615584
Brandnew House and Lot in Villa Segovia Laguna -EGR,"12,500,000",Don Jose,Santa Rosa,Ms. Emma,4,200,150,121.0735873,14.2615584
"House & Lot for Sale in Calamba Laguna ""Sentosa"" 4 Bedroom 2 Toilet&Bath","14,000,000",Punta,Calamba,SN Homefinders Management & Devt. Corp.,4,179,220,121.122173,14.176345
"2 Bedrooms Single-Attached with Spacious Carport for Sale in Cabuyao, Laguna.","3,200,828",Marinig,Cabuyao,Noriel Untalan,2,52,98,121.152656,14.2696017
"2 Bedrooms Single-Attached with Spacious Carport for Sale in Cabuyao, Laguna.","3,200,828",Marinig,Cabuyao,Noriel Untalan,2,52,98,121.152656,14.2696017
Pre-Selling House & Lot near Nuvali,"18,000,000",Canlubang,Calamba,RON CARIÑO,3,,150,121.0533622,14.1857173
"200 sqm Lot with 4 Bedrooms in Verdana, Mamplasan","14,000,000",Langkiwa,Biñan,Raphael Esguerra,4,200,140,121.0617653,14.2968418
Averdeen Estates Nuvali (H&L) - Erin Model,"14,087,540",Hornalan,Calamba,David James Dumlao,3,95,171,121.0822104,14.1753161
"Beryl Street, Avida Village Cerise house and lot","9,000,000",Canlubang,Calamba,Jose Mari Gutierrez,2,80,110,121.0533622,14.1857173
Preselling House and Lot in Avida Settings in Nuvali -EGR,"11,800,000",Canlubang,Calamba,Ms. Emma,4,197,135,121.0533622,14.1857173
For Sale-Starter Home in a Quiet Neighborhood in Nuvali,"5,500,000",Canlubang,Calamba,Noel Del Castillo,1,30,115,121.0533622,14.1857173
VERDANA HOMES MAMPLASAN Spacious House FOR SALE!,"59,000,000",Loma,Biñan,Maria Luisa Alversado,4,430,600,121.0692547,14.2915432
"4 Bedroom Duplex Unit for sale at Westridge Residences in Lawa, Laguna","2,400,000",Lawa,Calamba,Property Pro Philippines,4,62,60,121.1435111,14.2063223
"For Sale: 3 Bedroom House and Lot in Ridgeview Estates Nuvali, Calamba","14,000,000",Canlubang,Calamba,arlene bautista,3,111,171,121.0533622,14.1857173
"Single Attach House and Lot for sale in Calamba, Laguna","5,000,000",Palo-Alto,Calamba,Theresa Katrina Esma,3,54,88,121.113605,14.191945
"Ready For Occupancy Townhouse for sale in Calamba, Laguna","2,000,000",Palo-Alto,Calamba,Theresa Katrina Esma,2,40,,121.113605,14.191945
"Single Attach House and Lot for sale in San Pablo, Laguna","4,400,000",San Ignacio,San Pablo,Theresa Katrina Esma,3,54,88,121.3477927,14.0568397
"Ready For Occupancy Townhouse for sale in San Pablo, Laguna","1,800,000",San Ignacio,San Pablo,Theresa Katrina Esma,2,40,,121.3477927,14.0568397
Modern House and Lot for Sale in Laguna at Las Villas De Manila Subdivision,"29,000,000",San Francisco,Biñan,Yvette De Asis,4,420,300,121.0555577,14.3336384
"House & Lot For Sale in Solen Residences, Santa Rosa Laguna (Liane Model)-MC","26,945,303",Don Jose,Santa Rosa,Ms. Michelle,3,194,298,121.0735873,14.2615584
"Brand New House and Lot For Sale in Villa Segovia, Santa Rosa, Laguna -EGR","12,500,000",Don Jose,Santa Rosa,Ms. Emma,4,150,200,121.0735873,14.2615584
Preselling House and Lot in Avida Settings in Nuvali -EGR,"11,800,000",Santo Domingo,Santa Rosa,Ms. Emma,4,197,135,121.0661417,14.2444071
1 Bedroom House and Lot Unit for Sale at Valle Dulce Phase 2 (Caroline),"2,617,000",Bubuyan,Calamba,Property Pro Philippines,1,29,70,121.1035776,14.1665802
2 Bedroom House and Lot Unit for Sale at Ventura Real (Sapphire),"4,716,600",Bubuyan,Calamba,Property Pro Philippines,2,46,88,121.1107408,14.1764341
"3 Bedroom House and Lot for Sale at Montebello in Calamba, Laguna (Chopin)","15,713,700",Punta,Calamba,Property Pro Philippines,3,113,180,121.122173,14.176345
"Solen Residences House and Lot For Sale in Santa Rosa, Laguna","23,000,000",Don Jose,Santa Rosa,Rhichelle May Torres,4,199,166,121.0735873,14.2615584
"1BR SD House and Lot for Sale at Asenso Village in Calamba, Laguna (Danessa)","5,841,700",Bubuyan,Calamba,Property Pro Philippines,1,37,252,121.1107408,14.1764341
"3 Storey House and Lot for sale in Calamba, Laguna","20,000,000",Pansol,Calamba,Alan Baldovino,6,454,238,121.1840111,14.178416
"For Sale Inner Lot House in Calamba Laguna, w/ 1 Parking. No Move-in Fee","2,160,000",Majada Labas,Calamba,Josephine Arcilla Dayag,3,40,49,121.104962,14.196755
For Sale 3 Bedroom Single Attached House in Calamba Laguna. No Move-in Fee,"2,710,000",Majada Labas,Calamba,Josephine Arcilla Dayag,3,45,63,121.104962,14.196755
Low downpayent 2 Storey House and Lot for sale in Upper Antipolo,"13,500,000",Antipolo,Rizal,Michael Bautista,4,255,170,121.380557,14.114565
4 bedrooms 2 Storey House and Lot for Sale on Upper Antipolo,"13,500,000",Antipolo,Rizal,Michael Bautista,4,255,170,121.380557,14.114565
Modern 2 Storey House and Lot for Sale in upper Antipoll,"13,500,000",Antipolo,Rizal,Michael Bautista,4,255,170,121.380557,14.114565
Brand New House and Lot for Sale in Upper Antipolo,"13,500,000",Antipolo,Rizal,Michael Bautista,4,255,170,121.380557,14.114565
2 Storey Modern House and Lot for sale in Upper Antipolo,"13,500,000",Antipolo,Rizal,Michael Bautista,4,255,170,121.380557,14.114565
Ready for Occupancy 2 Storey Modern Contemporary in Upper Antipolo,"13,500,000",Antipolo,Rizal,Michael Bautista,4,255,170,121.380557,14.114565
"3 Bedroom House and Lot in Ashton Fields at Calamba, Laguna (Cypress)","8,066,600",Milagrosa (Tulo),Calamba,Property Pro Philippines,3,138,383,121.1395358,14.1720168
"224 sqm Lot with 3BR Hoyse for sale in Ridgeview Estates, Calamba, Laguna","16,500,000",Canlubang,Calamba,Raphael Esguerra,3,129,224,121.0533622,14.1857173
"For Sale 4BR Townhouse in Sevina Park, Biñan, beside DLSU Laguna Campus","30,000,000",Biñan,Biñan,Judie Alfonso,4,182,124,121.0539924,14.2703263
ELEGANTLY SPACIOUS 5 BR Furnished House  in NUVALI STA ROSA LAGUNA,,Don Jose,Santa Rosa,Daryl Campos,5,242,382,121.0735873,14.2615584
Montecito -  Nuvali / Bungalow House for Sale,"58,000,000",Santo Domingo,Santa Rosa,Eleonor Tycangco,3,500,765,121.0661417,14.2444071
"House and Lot for Sale at SRE1 near Solenad, All Home, Nuvali. Santa Rosa City!","17,000,000",Don Jose,Santa Rosa,CoescaRealty CoescaRealty,5,304,200,121.0735873,14.2615584
RUSH SALE Nuvali Santa Rosa Laguna - Elegant 4 BR SINGLE DETACHED House and Lot,,Don Jose,Santa Rosa,Daryl Campos,5,265,242,121.0735873,14.2615584
"Beautiful White House For Sale in Casile, Cabuyao, Laguna (near Tagaytay)","28,000,000",Casile,Cabuyao,Andrew Selah Dela Rosa,4,400,1177,121.0459659,14.2107162
"3-Bedroom House for Sale in Agapeya Towns, Majada Labas, Calamba, Laguna","2,712,500",Majada Labas,Calamba,Aspire 8 Realty,3,70,50,121.1010829,14.19376113
"3-Bedroom Townhouse for Sale in Biñan, Laguna","6,210,540",Santo Niño,Biñan,Aspire 8 Realty,3,90,60,121.0857856,14.3268282
"RFO House and Lot For Sale in Liane, Solen Residences, Santa Rosa - EGR","26,000,000",Don Jose,Santa Rosa,Ms. Emma,4,194,298,121.0735873,14.2615584
"RFO House and Lot For Sale in Raiya, Solen Residences, Santa Rosa - EGR","24,000,000",Don Jose,Santa Rosa,Ms. Emma,4,164,264,121.0735873,14.2615584
"Brand New House and Lot For Sale in Villa Segovia, Santa Rosa, Laguna -EGR","12,500,000",Don Jose,Santa Rosa,Ms. Emma,4,200,150,121.0735873,14.2615584
"For Sale: 5BR Income-Generating House and Lot / Resort in Indigo Bay, Laguna","35,000,000",Canlubang,Calamba,Austin Miles Laluna,5,700,370,121.0533622,14.1857173
"Sta. Rosa, Laguna House and Lot Inside Gated Community","11,000,000",Santo Domingo,Santa Rosa,Gary Sabanal,3,115,150,121.0661417,14.2444071
Nuvali Ridgeview Estates House and lot for Sale,"15,000,000",Pulo,Cabuyao,APC Realty,3,180,187,121.1322063,14.2465882
"for sale house and lot in avida ridgeview estates nuvali, canlubang calamba","17,000,000",Canlubang,Calamba,Svetlana Perey,3,129,224,121.0533622,14.1857173
"2 Storey Townhouse for sale in Amaia Series Nuvali, Calamba Laguna","5,600,000",Canlubang,Calamba,Gray Trinidad,3,65,60,121.06373,14.2023
Elegant House and Lot For Sale with Swimming Pool in Brentville Biñan Laguna,"125,000,000",Mampalasan,Biñan,Svetlana Perey,4,1050,829,121.0810444,14.2923053
House and lot for Sale in Antipolo rizal near cogeo market,"15,000,000",Antipolo,Rizal,Albert Jalos,4,240,180,121.380557,14.114565
"3 Bedrooms House for Sale in Ridgeview Estates, Nuvali, Sta Rosa, Laguna","16,500,000",,Santa Rosa,Team G-wagon,3,129,224,121.2806081,14.2984883
"MSG-45-0028 : Holiday Homes, San Pedro Foreclosed House & Lot","5,900,000",San Antonio,San Pedro,MSGRDC Alquileta,1,,180,121.0433415,14.3669314
2-storey Townhouse Provision for 2 bedroom for Sale,,Santa Monica,San Pablo,Raquel Monterey,2,39,42,121.3011068,14.0551969
"4 Bedroom House and Lot for sale in San Pedro, Laguna - Villa Olympia Phase 6","12,000,000",Estrella,San Pedro,Adrian Galut,4,200,240,121.0434637,14.3368386
"4-Bedroom House & Lot for Sale in Mirala Nuvali, Calamba, Laguna","32,000,000",Canlubang,Calamba,Kristina Pedro,4,364,323,121.0533622,14.1857173
"RFO House and Lot in Raiya, Solen Residences, Santa Rosa For Sale - EGR","24,000,000",Don Jose,Santa Rosa,Ms. Emma,4,164,264,121.0735873,14.2615584
"4 Bedrooms Brand New House For Sale in Laguna Bel-Air 4, Santa Rosa - Negotiable","15,800,000",Don Jose,Santa Rosa,Shimaski Valente,4,150,121,121.0735873,14.2615584
For Sale 2-Bedroom Sevina Park High End House and Lot Beside in Biñan Laguna,"19,860,000",Biñan,Biñan,Adrian Lim,2,138,114,121.0539924,14.2703263
"For Sale: Aeon Duplex House at Suntrust Sentosa in Calamba City, Laguna","1,857,120",Punta,Calamba,Fredilyn Ponchao,1,41,60,121.122173,14.176345
Verdana Homes Mamplasan | Three Bedroom 3BR House and Lot For Sale - #5703,"14,000,000",Mampalasan,Biñan,Everbright Real Estate,3,120,200,121.0810444,14.2923053
Phirst Park Homes San Pablo - Calista Mid Townhouse for Sale in Laguna,,San Ignacio,San Pablo,Angela Enriquez,2,40,44,121.3477927,14.0568397
Phirst Park Homes San Pablo- Unna Single Detached House & Lot for Sale in Laguna,,San Ignacio,San Pablo,Angela Enriquez,3,54,88,121.3477927,14.0568397
Phirst Park Homes San Pablo - Calista End Townhouse for Sale in Laguna,,San Ignacio,San Pablo,Angela Enriquez,2,40,60,121.3477927,14.0568397
3BR / 2T&B House and Lot for sale in Palo Alto Calamba,,Palo-Alto,Calamba,Angela Enriquez,3,54,96,121.113605,14.191945
"3 Bedroom House and Lot for Sale at Verdana Homes in Biñan City, Laguna","14,000,000",Langkiwa,Biñan,Capstone Properties Inc.,3,200,225,121.0617653,14.2968418
"Townhouse for Sale at The Hana Garden Villas in Cabuyao City, Laguna","23,540,000",Pittland,Cabuyao,Capstone Properties Inc.,3,222,144,121.0721529,14.2220299
"House on 364 sqm Corner Lot Fronting Clubhouse For Sale in Calamba, Laguna","9,869,600",Bubuyan,Calamba,Agent Janah Monsanto,1,37,364,121.1107408,14.1764341
"3 Bedroom House and Lot For Sale in Montebello Calamba, Laguna","13,978,700",Punta,Calamba,Agent Janah Monsanto,3,113,258,121.12229,14.180023
"3BR House and Lot for Sale at Avida Southdale Settings in Nuvali, Laguna","11,383,000",Canlubang,Calamba,"LBS Land & Building Sales Specialist, Inc.",3,85,148,121.0533622,14.1857173
"Pre-selling 3 Bedroom House For Sale in Southdale Settings Nuvali, Calamba","9,718,000",San Jose,Calamba,"LBS Land & Building Sales Specialist, Inc.",3,67,130,121.06833,14.20202
"2-Bedroom Cozy House For Sale in Amaia Series Nuvali, Calamba, Laguna","5,600,000",Canlubang,Calamba,Maria Dolores Mensalvas,2,120,125,121.06373,14.2023
RFO House and Lot in Raiya SOLEN GREENFIELD - EGR,"24,000,000",Don Jose,Santa Rosa,Ms. Emma,4,164,264,121.0735873,14.2615584
House and Lot for sale in Ciudad De Calamba Punta Altezza,"5,440,000",Punta,Calamba,MFR Real Estate Corporation,2,100,120,121.122173,14.176345
"Phirst Calauan, Laguna 4/12/24 Update, Alora Rowhouse w/ Loft Complete Finish",,Bangyas,Calauan,John Romer Fegalquin,1,30,41,121.314729,14.18534
"2 Bedrooms Townhouse with Spacious Area for Sale in San Pablo, Laguna","1,336,960",Santa Monica,San Pablo,Noriel Untalan,2,44,54,121.3011068,14.0551969
"House and Lot for sale in Southdale Settings Nuvali, Calamba, Laguna","10,133,000",Canlubang,Calamba,Mary Jane Santos,3,67,138,121.0533622,14.1857173
House and lot for sale in Binan Laguna,"2,525,000",San Antonio,Biñan,Agnes Raby Cabacang,2,45,45,121.0895615,14.3355937
2Bedroom Single Attached House and Lot for Sale in Binan Laguna,"2,525,000",San Antonio,Biñan,Jenny Tulad,2,48,45,121.0895615,14.3355937
"2BR House and Lot for Sale at Phirst Park Homes San Pablo in San Ignacio, Laguna","1,802,895",San Ignacio,San Pablo,Angela Enriquez,2,40,44,121.3477927,14.0568397
"3BR House and Lot for Sale at Phirst Park Homes Calamba in Palo-Alto, Laguna","4,800,476",Palo-Alto,Calamba,Angela Enriquez,3,54,188,121.113605,14.191945
Single Detached House and Lot with Spacious Lawn (Edgewood Place),"8,000,000",Antipolo,Rizal,Maria Neo Clarise Fegi,3,98,180,121.380557,14.114565
"For Sale: House and Lot in Mirala Nuvali, Calamba, Laguna","33,000,000",Canlubang,Calamba,Rick Manzano,4,400,367,121.0533622,14.1857173
"RFO House and Lot in Raiya, Solen Greenfield, Santa Rosa For Sale - EGR","24,000,000",Don Jose,Santa Rosa,Ms. Emma,4,164,264,121.0735873,14.2615584
"Exquisite 6-Bedroom Resort with Hotspring Pool, Modern Interior in Laguna","18,000,000",Puypuy,Bay,Ellaine Sanchez,6,347,500,121.282239,14.166966
"House & Lot for SALE in Balibago, Santa Rosa Laguna","12,000,000",Balibago,Santa Rosa,Rosemarie Domingo,3,240,247,121.10166,14.294425
"For Sale: 3 Bedroom Elva Duplex House at Estonia Calamba City, Laguna",,Majada Labas,Calamba,Digna Casio,3,45,63,121.1102814,14.19777049
"For Sale: Sofia Deluxe House at Lynville Diamond in Sta Cruz City, Laguna",,Gatid,Santa Cruz,Digna Casio,2,42,80,121.3799437,14.2660546
"For Sale: Amani Series Townhouse at Phirst Sights Bay in Bay City, Laguna",,Puypuy,Bay,Digna Casio,2,36,55,121.282239,14.166966
"For Sale: Shanata Model House at Suntrust Shanata in Calamba City, Laguna",,Punta,Calamba,Digna Casio,4,171,176,121.122173,14.176345
Affordable Complete Finish House and Lot For Sale in Bay Laguna near UPLB,"1,000,000",Puypuy,Bay,Jenny Tulad,1,30,41,121.282239,14.166966
"Avida Settings Nuvali House For Sale in Near Xavier School, Calamba, Laguna","9,500,000",Canlubang,Calamba,Kamille Westrup,4,140,114,121.0533622,14.1857173
"READY FOR OCCUPANCY UNIT in Camella Dos Rios Cabuyao, Laguna","3,466,000",Pittland,Cabuyao,Antonio Billonid,2,40,44,121.0721529,14.2220299
Brand New House for Sale near EVIA Daang Hari,"8,500,000",San Antonio,San Pedro,Emily Nuguid,4,114,110,121.0433415,14.3669314
"Ready For Occupancy House For Sale in Camella Dos Rios, Cabuyao, Laguna","4,895,000",Pittland,Cabuyao,Antonio Billonid,2,46,66,121.0721529,14.2220299
"Ready for Occupancy Unit in Camella Dos Rios Cabuyao, Laguna - Model Unit: Mika","4,895,000",Pittland,Cabuyao,Antonio Billonid,2,46,66,121.0721529,14.2220299
"RFO House and Lot For Sale in Raiya Solen Greenfield, Santa Rosa - EGR","24,000,000",Don Jose,Santa Rosa,Ms. Emma,4,164,264,121.0735873,14.2615584
"2-Bedroom House and Lot For Sale in Amaia Scapes Laguna, Calamba","3,000,000",Barandal,Calamba,Mary Jane Santos,2,55,92,121.129069,14.195385
"Ready For Occupancy House For Sale in Camella Dos Rios, Cabuyao, Laguna","4,825,000",Pittland,Cabuyao,Antonio Billonid,2,40,66,121.0721529,14.2220299
Complete Finish 3 Bedroom Room Single Attached For Sale in Alaminos Laguna,"4,499,940",San Benito,Alaminos,Jenny Tulad,3,85,89,121.2799644,14.0571169
3 Bedroom Complete Finish Single Detached For Sale in Calamba Near Carmelray!,"4,868,455",Palo-Alto,Calamba,Jenny Tulad,3,54,100,121.113605,14.191945
"Santa Rosa Estates 2, Laguna  | Five Bedroom House and Lot For Sale - #6402","11,000,000",Don Jose,Santa Rosa,Everbright Real Estate,5,220,160,121.0735873,14.2615584
House and Lot For Sale in  Leap St Mondia Nuvali Sta. Rosa Laguna,"45,000,000",Santo Domingo,Santa Rosa,Realus Realtors,7,390,303,121.0661417,14.2444071
2 Story Single Detached House - 704K Pasalo - Lower than Current Market Value,,Casile,Cabuyao,JAUBREY DRANREB BETE,3,100,72,121.0459659,14.2107162
"Ready for Occupancy 2 Bedroom House and Lot for Sale in Cabuyao, Laguna","4,825,000",Pittland,Cabuyao,Antonio Billonid,2,40,66,121.0721529,14.2220299
Brand New House for sale with Swimming Pool & Unobstructed View in Antipolo,"78,000,000",Antipolo,Rizal,Bridgette Aloya,5,822,556,121.380557,14.114565
"5BR House and Lot for Sale in Verdana Homes, Laguna","23,000,000",Mampalasan,Biñan,Realus Realtors,5,395,200,121.0810444,14.2923053
"House For Sale with 4 Bedroom For Sale in Mondia Nuvali, Calamba, Laguna","42,000,000",Hornalan,Calamba,Iris Mae Meana,4,390,303,121.0822104,14.1753161
House and Lot for Sale at Ayala Westgrove Heights,"80,000,000",Macabling,Santa Rosa,Irene Pineda,5,600,576,121.1019793,14.3029007
Affordable House And Lot For Sale,,Puypuy,Bay,Nenita Bendo,2,36,40,121.282239,14.166966
"3 Storey House & Lot for Sale in Southspring, Biñan Laguna","17,000,000",Biñan,Biñan,Realus Realtors,4,260,120,121.0539924,14.2703263
House for Sale Mondia Nuvali Brand new 4 bedroom House for sale in Calamba,"42,000,000",Hornalan,Calamba,The Lead Realty,4,390,303,121.0822104,14.1753161
For Sale Mondia Nuvali 4 bedroom Brand new House Calamba Laguna,"42,000,000",Hornalan,Calamba,Michael Kingsu,4,390,303,121.0822104,14.1753161
"5-Bedroom Hot Spring Resort for Sale in Lakewood Residential Estates, Los Baños,","34,000,000",,Los Baños,Team G-wagon,5,400,300,121.2295491,14.1690114
"5-Bedroom Hot Spring Resort for Sale  in Lakewood Residential Estates, Los Baños","34,000,000",,Los Baños,Team G-wagon,5,400,300,121.2295491,14.1690114
"Promo Alert! 3 Bedroom House for sale in Calamba, Laguna with P200k Discount","4,575,000",Palo-Alto,Calamba,JAIZE REMOTO,3,54,88,121.113605,14.191945
"2 Bedrooms RFO Townhouse for sale in Calamba, Laguna - Phirst Park Homes","2,238,422",Palo-Alto,Calamba,JAIZE REMOTO,2,44,40,121.113605,14.191945
"House And Lot For Sale In Makiling Hights, Los Baños, Laguna","60,000,000",Bagong Silang,Los Baños,Ester Bustamante,9,900,1000,121.2255482,14.1397208
2- Storey single Firewall  Cara Model SF (NRFO) 3 bedroom for sale,,Antipolo,Rizal,Jash Misa,3,66,88,121.380557,14.114565
"Martini at Pontevedra - House and Lot for sale in Santa Rosa, Laguna","15,118,000",Santo Domingo,Santa Rosa,Stephen Dale Caringal,3,709,110,121.0661417,14.2444071
6BR Old House And Lot  For Sale In La Vista,"125,320,000",Canlubang,Calamba,Realus Realtors,6,964,,121.0533622,14.1857173
"Rent to Own Fully Finished House 4,600 Monthly Amort Pag Ibig For Sale, Bay",,Puypuy,Bay,Digna Casio,1,30,56,121.282239,14.166966
"For Sale: 5 Bedroom House and Lot at Sentrina Alaminos, Laguna","10,367,955",San Benito,Alaminos,Rizally Aranas,5,181,145,121.2799644,14.0571169
Single attached house and lot for sale thru Bank financing,"4,867,883",Barangay II,Alaminos,Lilibeth A. Caber,3,85,89,121.2437608,14.0684701
"Hot Spring Resort For Sale in Barangay Pansol, Calamba, Laguna","39,000,000",Pansol,Calamba,RDSamson Realty,4,357,357,121.1840111,14.178416
"3.4 Hectares House and Lot For Sale in Cavinti, Laguna","120,000,000",Kanluran Talaongan,Cavinti,Gracie Marquez,7,500,34000,121.5156341,14.2815911
"Affordable 1 Bedroom Duplex House for Sale in PHirst Sights, Bay, Laguna",,Puypuy,Bay,Nenita Bendo,1,30,41,121.282239,14.166966
"For Sale House in a Southern California Suburbs-inspired community, San Pedro","40,000,000",Estrella,San Pedro,Maria Teresa Pablico,5,372,500,121.0434637,14.3368386
House & Lot For Sale in Sta. Rosa Laguna (Celestine)-MC,"30,170,280",Don Jose,Santa Rosa,Ms. Michelle,4,243,311,121.0735873,14.2615584
House & Lot For Sale in Sta. Rosa Laguna (Liane Model)-MC,"26,945,303",Don Jose,Santa Rosa,Ms. Michelle,3,194,298,121.0735873,14.2615584
House & Lot For Sale in Sta. Rosa Laguna (Raiya Model)-MC,"24,430,131",Don Jose,Santa Rosa,Ms. Michelle,3,164,264,121.0735873,14.2615584
RFO House & Lot For Sale in Sta. Rosa Laguna (Villa Segovia)-MC,"12,500,000",Don Jose,Santa Rosa,Ms. Michelle,4,200,150,121.0735873,14.2615584
House & Lot For Sale in Sta. Rosa Laguna -MC,"11,880,000",Santo Domingo,Santa Rosa,Ms. Michelle,4,197,135,121.0661417,14.2444071
3BR near Rfo House for sale in Antipolo with very nice amenities,"10,928,400",Antipolo,Rizal,Chaesy Kay Querido,3,112,120,121.380557,14.114565
Affordable house and lot for Minimum wage employees,"1,600,000",San Roque,San Pablo,Joselito Onesa,2,38,52,121.2711552,14.0401137
"KA - FOR SALE: 5 Bedroom House in Avida Parkway Settings Nuvali, Laguna","18,400,000",Canlubang,Calamba,RE/MAX CAPITAL,5,224,220,121.0533622,14.1857173
"For Sale Fully-furnished 4-Bedroom House and Lot in Biñan, Laguna","21,500,000",Mampalasan,Biñan,Licensed Broker,4,300,200,121.0810444,14.2923053
"For Sale Fully-furnished 4-Bedroom House and Lot in Biñan, Laguna","21,500,000",Mampalasan,Biñan,Licensed Broker,4,300,200,121.0810444,14.2923053
"For Sale Fully-furnished 4-Bedroom House and Lot in Biñan, Laguna","21,500,000",Mampalasan,Biñan,See A Broker,4,300,200,121.0810444,14.2923053
"For Sale! Nuvali Townhouse Brand New Unit P700k discount in Calamba, Laguna","5,000,000",Canlubang,Calamba,Kenneth Payoyo,3,60,50,121.2197257,14.1951957
"3 Storey Townhouse Unit for Sale at Vista Rosa near Southwoods in Biñan, Laguna","7,159,936",Tubigan,Biñan,ace aquino,3,109,50,121.0720965,14.3327118
"2 Storey House and Lot for Sale in Mabitac, Laguna","50,000,000",,Mabitac,CTY Real Estate,3,199,72091,121.4197867,14.4342129
"House and Lot with 4 Bedrooms for Sale at The Glens in San Pedro, Laguna","8,500,000",San Antonio,San Pedro,Mary Irene Pareja,4,114,140,1,14.3692927
"3 Bedroom Ready for Occupancy House and Lot for sale in San Pedro, Laguna","4,468,000",San Vicente,San Pedro,ace aquino,3,67,80,121.0535937,14.3494688
"RFO House and Lot for Sale in Santa Rosa, Laguna","13,200,000",Santo Domingo,Santa Rosa,Jenelyn Bergunio,4,110,130,121.0661417,14.2444071
"Rush for Sale House and Lot in Calamba, Laguna. Fully Furnished","10,000,000",Mayapa,Calamba,Raymond Aldabe Mamino,5,300,120,121.124086,14.21156
"Single Attached House and Lot for sale in Palo-Alto, Calamba, Laguna","3,799,000",Palo-Alto,Calamba,Derrick Elacio,2,40,60,121.113605,14.191945
"3BR Single Attached House and Lot for sale in Calamba, Laguna","6,468,000",Palo-Alto,Calamba,Derrick Elacio,3,66,88,121.113605,14.191945
"Single Attached House and Lot for sale in Palo Alto, Calamba, Laguna","4,232,000",Palo-Alto,Calamba,Derrick Elacio,2,48,80,121.113605,14.191945
"For sale House and lot for Sale 223sqm in Juana 3C, Biñan, Laguna","3,500,000",Biñan,Biñan,Rosemarie Domingo,2,80,223,121.0539924,14.2703263
"3-Bedroom House and Lot For Sale in The Sonoma, Santa Rosa, Laguna","20,000,000",Santo Domingo,Santa Rosa,"PhilRealty Global Marketing, Inc",3,212,255,121.0661417,14.2444071
"Chiara House and Lot for sale at Suntrust Sentosa, Calamba","4,766,020",Punta,Calamba,michael danby aglipay,3,80,100,121.122173,14.176345
"For Sale Townhouse at St. Joseph Springfield, Calamba City, Laguna","2,467,016",Laguerta,Calamba,Derrick Elacio,2,42,36,121.0965228,14.1752954
